"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PX","Praxair, Inc.","109.32","32769763200","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/px",
"PFK","Prudential Financial, Inc.","27.15","81450000","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/pfk",
"PHR","Prudential Financial, Inc.","27.64","884480000","n/a","1998","Finance","Life Insurance","http://www.nasdaq.com/symbol/phr",
"PRU","Prudential Financial, Inc.","57.36","26959200000","n/a","2001","Finance","Life Insurance","http://www.nasdaq.com/symbol/pru",
"RSH","Radioshack Corporation","10.24","1022330880","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/rsh",
"RA","RailAmerica, Inc.","15.56","798103520","n/a","1995","Transportation","Railroads","http://www.nasdaq.com/symbol/ra",
"RGA","Reinsurance Group of America, Incorporated","55.35","4055383800","n/a","1993","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/rga",
"RS","Reliance Steel & Aluminum Co.","54.91","4116767430","n/a","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/rs",
"RNR","RenaissanceRe Holdings Ltd.","73.59","3811005330","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rnr",
"RNR^C","RenaissanceRe Holdings Ltd.","24.75","247500000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rnr^c",
"RNR^D","RenaissanceRe Holdings Ltd.","25.07","300840000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rnr^d",
"CRM","Salesforce.com Inc","114.19","15529840000","n/a","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/crm",
"SAP","SAP AG","57.01","2321732250","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/sap",
"SLB","Schlumberger N.V.","73.8","99039600000","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/slb",
"SWM","Schweitzer-Mauduit International, Inc.","67.56","1092377640","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/swm",
"CKH","SEACOR Holdings, Inc.","94.26","2046855900","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ckh",
"SHW","Sherwin-Williams Company (The)","95.59","9918513990","n/a","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/shw",
"SHG","Shinhan Financial Group Co Ltd","77.35","693597450","n/a","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/shg",
"SFL","Ship Finance International Limited","11.37","899651250","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sfl",
"SI","Siemens AG","97.48","4402001840","n/a","1988","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/si",
"SIG","Signet Jewelers Limited","46.71","4059379260","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/sig",
"SLW","Silver Wheaton Corp","31.5","11135092500","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/slw",
