Week, infosys, infosys (std error)
Jun 12 2011, 1.02, 2%
Jun 19 2011, 1.02, 2%
Jun 26 2011, 0.94, 2%
Jul 3 2011, 0.96, 2%
Jul 10 2011, 1.32, 2%
Jul 17 2011, 1.12, 2%
Jul 24 2011, 1.04, 2%
Jul 31 2011, 1.18, 2%
Aug 7 2011, 1.20, 2%
Aug 14 2011, 1.22, 2%
Aug 21 2011, 1.34, 2%
Aug 28 2011, 1.20, 2%
Sep 4 2011, 1.24, 2%
Sep 11 2011, 1.34, 2%
Sep 18 2011, 1.22, 2%
Sep 25 2011, 1.08, 2%
Oct 2 2011, 0.92, 2%
Oct 9 2011, 1.14, 2%
Oct 16 2011, 0.92, 2%
Oct 23 2011, 0.70, 3%
Oct 30 2011, 1.00, 2%
Nov 6 2011, 0.96, 2%
Nov 13 2011, 0.92, 2%
Nov 20 2011, 0.88, 2%
Nov 27 2011, 0.90, 2%
Dec 4 2011, 0.92, 2%
Dec 11 2011, 1.00, 2%
Dec 18 2011, 0.88, 2%
Dec 25 2011, 0.80, 3%
Jan 1 2012, 0.96, 2%
Jan 8 2012, 1.10, 2%
Jan 15 2012, 0.96, 2%
Jan 22 2012, 0, >10%
